host,stellar_r,stellar_m,inj_period,inj_rp_earth,inj_rp_rs,inj_depth_ppm,inj_impact,inj_snr,n_transits,rec_period,rec_sde,rec_depth_ppm,tls_recovered,clf_probability,clf_recovered,error
TIC 461387302,1.26669,1.287,12.0,0.8,0.005790209127726595,38.59286703411513,0.5,0.4996753792228152,1,7.160308321432443,4.0941235285293525,327.96718638561373,0,0.11652033245503145,0,
TIC 461387302,1.26669,1.287,12.0,1.5,0.010856642114487364,144.02715864580972,0.1,1.864770115449382,1,8.293908854925741,5.081843132797249,372.36525368977703,0,0.1291830960273115,0,
TIC 461387302,1.26669,1.287,12.0,1.5,0.010856642114487364,135.75382279229498,0.5,1.757652335721114,1,1.5727957084407822,4.569797077713013,186.1119749320128,0,0.05249070810277351,0,
TIC 461387302,1.26669,1.287,12.0,2.5,0.018094403524145607,400.065471573452,0.1,5.179787913805674,1,4.911883161908833,4.453614753415137,305.7923081666303,0,0.0664884451189014,0,
TIC 461387302,1.26669,1.287,12.0,2.5,0.018094403524145607,376.6911987445054,0.5,4.8771530090307325,1,3.3413888621895556,4.609913371373646,281.0435601054984,0,0.07557199552508428,0,
TIC 461387302,1.26669,1.287,12.0,4.0,0.028951045638632975,1022.0230932503904,0.1,13.232491285058849,1,5.975474080499283,9.263770679975442,666.9068806143264,1,0.4899216729657575,0,
TIC 461387302,1.26669,1.287,12.0,4.0,0.028951045638632975,964.6596628584136,0.5,12.489786841533181,1,5.995691854257398,8.319103794056183,538.9368442320075,1,0.20410424240094702,0,
TIC 461387302,1.26669,1.287,12.0,6.0,0.043426568457949455,2302.486051443231,0.1,29.811094104336156,1,11.634815658722992,10.133992590041915,1922.2329350099265,0,0.8926562924818261,0,
TIC 461387302,1.26669,1.287,12.0,6.0,0.043426568457949455,2172.223530229944,0.5,28.124539575276884,1,5.995691854257398,12.878499293808785,1381.8518722201745,1,0.8321967504866972,1,
TIC 461387302,1.26669,1.287,12.0,9.0,0.06513985268692418,5177.584967173132,0.1,67.03600770690707,1,5.995691854257398,10.553437472515638,2583.2671959667987,1,0.6201209875596991,1,
TIC 461387302,1.26669,1.287,12.0,9.0,0.06513985268692418,4873.960568992364,0.5,63.104876180240154,1,6.016000938999842,17.07046587006408,3789.70363916431,1,0.4264766826113315,0,
TIC 461387302,1.26669,1.287,12.0,13.0,0.09409089832555716,10805.637158197045,0.1,139.904372483998,1,11.833226353390263,11.471139888684899,6512.822552772191,1,0.11733050653568015,0,
TIC 461387302,1.26669,1.287,12.0,13.0,0.09409089832555716,10156.690347265518,0.5,131.50223061770424,1,11.4408160237356,13.896595726053759,6830.682741287619,0,0.6941592064786026,0,
TIC 309792357,0.878413,0.88,0.7,0.8,0.008349603204870604,85.1928154405046,0.1,3.180354472048515,39,1.6633817436163731,4.5016935584453375,257.6452140231611,0,0.0923660059602159,0,
TIC 309792357,0.878413,0.88,0.7,0.8,0.008349603204870604,80.32710112226837,0.5,2.9987112640890365,39,1.6633817436163731,4.7558390338100605,262.38866483752065,0,0.09674559287310712,0,
TIC 309792357,0.878413,0.88,0.7,1.5,0.01565550600913238,299.4942615859309,0.1,11.180495787850457,39,0.6993517094299323,11.859659572108583,260.9086273780425,1,0.031622959828693176,0,
TIC 309792357,0.878413,0.88,0.7,1.5,0.01565550600913238,282.39094792448236,0.5,10.54200767346218,39,0.6993517094299323,9.49643909777093,219.18729474812437,1,0.03909068779426552,0,
TIC 309792357,0.878413,0.88,0.7,2.5,0.026092510015220633,831.8944397894822,0.1,31.055661069265202,39,0.7001239788108669,21.457681939221025,828.7031100767672,1,0.09490072259725962,0,
TIC 309792357,0.878413,0.88,0.7,2.5,0.026092510015220633,784.3756093447452,0.5,29.28172362947046,39,0.7001239788108669,19.685099903875575,808.4243815018599,1,0.1122220476449985,0,
